year_month,borough,borocode,sales_index,rental_index
2013-05,BK,3,544738,2236
2013-05,QN,4,394528,1837
2013-05,NYC,,516292,2517
2013-04,MN,1,943772,2840
2013-04,BK,3,536070,2219
2013-04,QN,4,394571,1824
2013-04,NYC,,512306,2502
2013-03,MN,1,935252,2831
2013-03,BK,3,525956,2206
2013-03,QN,4,389726,1818
2013-03,NYC,,505868,2494
2013-02,MN,1,929431,2824
2013-02,BK,3,528876,2203
2013-02,QN,4,392546,1815
2013-02,NYC,,506869,2488
2013-01,MN,1,925309,2814
2013-01,BK,3,527835,2197
2013-01,QN,4,391952,1823
2013-01,NYC,,506491,2480
2012-12,MN,1,924474,2812
2012-12,BK,3,527019,2193
2012-12,QN,4,393426,1823
2012-12,NYC,,507497,2477
2012-11,MN,1,920289,2811
2012-11,BK,3,529182,2182
2012-11,QN,4,392073,1819
2012-11,NYC,,506624,2475
2012-10,MN,1,918089,2806
2012-10,BK,3,530282,2164
2012-10,QN,4,392706,1809
2012-10,NYC,,507296,2469
2012-09,MN,1,917982,2800
2012-09,BK,3,524011,2151
2012-09,QN,4,393544,1809
2012-09,NYC,,505649,2463
2012-08,MN,1,916261,2790
2012-08,BK,3,522046,2140
2012-08,QN,4,391962,1800
2012-08,NYC,,504289,2454
2012-07,MN,1,910588,2777
2012-07,BK,3,523288,2126
2012-07,QN,4,394466,1810
2012-07,NYC,,503875,2443
2012-06,MN,1,901097,2760
2012-06,BK,3,528090,2110
2012-06,QN,4,396221,1801
2012-06,NYC,,504059,2428
2012-05,MN,1,895431,2748
2012-05,BK,3,526523,2097
2012-05,QN,4,397663,1805
2012-05,NYC,,502501,2416
2012-04,MN,1,890491,2731
2012-04,BK,3,527902,2087
2012-04,QN,4,398398,1787
2012-04,NYC,,501764,2401
2012-03,MN,1,897308,2718
2012-03,BK,3,525496,2065
2012-03,QN,4,398908,1798
2012-03,NYC,,502401,2389
2012-02,MN,1,893600,2705
2012-02,BK,3,525958,2061
2012-02,QN,4,398726,1790
2012-02,NYC,,502438,2378
2012-01,MN,1,893821,2696
2012-01,BK,3,524306,2050
2012-01,QN,4,398355,1759
2012-01,NYC,,502564,2371
2011-12,MN,1,893328,2688
2011-12,BK,3,521518,2047
2011-12,QN,4,398690,
2011-12,NYC,,502690,2364
2011-11,MN,1,887817,2684
2011-11,BK,3,522134,2049
2011-11,QN,4,396714,
2011-11,NYC,,501659,2361
2011-10,MN,1,895213,2680
2011-10,BK,3,519216,2044
2011-10,QN,4,396809,
2011-10,NYC,,502758,2357
2011-09,MN,1,893123,2665
2011-09,BK,3,523151,2032
2011-09,QN,4,400951,
2011-09,NYC,,504843,2345
2011-08,MN,1,890573,2652
2011-08,BK,3,526337,2021
2011-08,QN,4,401826,
2011-08,NYC,,505234,2332
2011-07,MN,1,892801,2635
2011-07,BK,3,525532,2005
2011-07,QN,4,404109,
2011-07,NYC,,505589,2318
2011-06,MN,1,889245,2616
2011-06,BK,3,523517,1991
2011-06,QN,4,404193,
2011-06,NYC,,504936,2302
2011-05,MN,1,887865,2599
2011-05,BK,3,521454,1978
2011-05,QN,4,403732,
2011-05,NYC,,503817,2286
2011-04,MN,1,884729,2585
2011-04,BK,3,525859,1961
2011-04,QN,4,400973,
2011-04,NYC,,504145,2274
2011-03,MN,1,881267,2568
2011-03,BK,3,525847,1940
2011-03,QN,4,402718,
2011-03,NYC,,503725,2258
2011-02,MN,1,883927,2554
2011-02,BK,3,523891,1939
2011-02,QN,4,402213,
2011-02,NYC,,503965,2247
2011-01,MN,1,887239,2543
2011-01,BK,3,520009,1934
2011-01,QN,4,404254,
2011-01,NYC,,504348,2237
2010-12,MN,1,886674,2530
2010-12,BK,3,518917,1929
2010-12,QN,4,402775,
2010-12,NYC,,504522,2227
2010-11,MN,1,888837,2523
2010-11,BK,3,525048,1913
2010-11,QN,4,405788,
2010-11,NYC,,507068,2219
2010-10,MN,1,890110,2516
2010-10,BK,3,529655,1921
2010-10,QN,4,407710,
2010-10,NYC,,509705,2214
2010-09,MN,1,893118,2506
2010-09,BK,3,529016,1907
2010-09,QN,4,410198,
2010-09,NYC,,511709,2205
2010-08,MN,1,890074,2490
2010-08,BK,3,528818,1899
2010-08,QN,4,411985,
2010-08,NYC,,512444,2192
2010-07,MN,1,884989,2476
2010-07,BK,3,532237,1888
2010-07,QN,4,412288,
2010-07,NYC,,513128,2179
2010-06,MN,1,883866,2459
2010-06,BK,3,536447,1881
2010-06,QN,4,414280,
2010-06,NYC,,515133,2164
2010-05,MN,1,880640,2444
2010-05,BK,3,534509,1862
2010-05,QN,4,413239,
2010-05,NYC,,513495,2150
2010-04,MN,1,877834,2432
2010-04,BK,3,531238,1849
2010-04,QN,4,411314,
2010-04,NYC,,511578,2139
2010-03,MN,1,876141,2424
2010-03,BK,3,533501,1844
2010-03,QN,4,412362,
2010-03,NYC,,512150,2133
2010-02,MN,1,879376,2420
2010-02,BK,3,536651,1832
2010-02,QN,4,411858,
2010-02,NYC,,513248,2131
2010-01,MN,1,877809,2415
2010-01,BK,3,538256,1835
2010-01,QN,4,415807,
2010-01,NYC,,515431,2127
2009-12,MN,1,877036,2411
2009-12,BK,3,539748,
2009-12,QN,4,418293,
2009-12,NYC,,517082,2124
2009-11,MN,1,879000,2419
2009-11,BK,3,549688,
2009-11,QN,4,418403,
2009-11,NYC,,518768,2131
2009-10,MN,1,886016,2431
2009-10,BK,3,553771,
2009-10,QN,4,420029,
2009-10,NYC,,520909,2141
2009-09,MN,1,889322,2438
2009-09,BK,3,558193,
2009-09,QN,4,423315,
2009-09,NYC,,523393,2147
2009-08,MN,1,888910,2438
2009-08,BK,3,558902,
2009-08,QN,4,427110,
2009-08,NYC,,525253,2147
2009-07,MN,1,898280,2443
2009-07,BK,3,563022,
2009-07,QN,4,430069,
2009-07,NYC,,528627,2151
2009-06,MN,1,908107,2443
2009-06,BK,3,564458,
2009-06,QN,4,434943,
2009-06,NYC,,532629,2151
2009-05,MN,1,921376,2453
2009-05,BK,3,572396,
2009-05,QN,4,440660,
2009-05,NYC,,539386,2160
2009-04,MN,1,932849,2470
2009-04,BK,3,572492,
2009-04,QN,4,442112,
2009-04,NYC,,543525,2174
2009-03,MN,1,957956,2494
2009-03,BK,3,580798,
2009-03,QN,4,444956,
2009-03,NYC,,552490,2195
2009-02,MN,1,969297,2522
2009-02,BK,3,584432,
2009-02,QN,4,451845,
2009-02,NYC,,560264,2218
2009-01,MN,1,983449,2557
2009-01,BK,3,592119,
2009-01,QN,4,461304,
2009-01,NYC,,570034,2247
2008-12,MN,1,996005,2593
2008-12,BK,3,607493,
2008-12,QN,4,466042,
2008-12,NYC,,580279,2277
2008-11,MN,1,1007261,2629
2008-11,BK,3,614895,
2008-11,QN,4,469053,
2008-11,NYC,,586385,2308
2008-10,MN,1,1014730,2658
2008-10,BK,3,622805,
2008-10,QN,4,472538,
2008-10,NYC,,593002,2333
2008-09,MN,1,1018085,2686
2008-09,BK,3,624691,
2008-09,QN,4,472735,
2008-09,NYC,,595649,2356
2008-08,MN,1,1021013,2699
2008-08,BK,3,626323,
2008-08,QN,4,473458,
2008-08,NYC,,597886,2366
2008-07,MN,1,1024070,2698
2008-07,BK,3,626621,
2008-07,QN,4,477841,
2008-07,NYC,,600601,2364
2008-06,MN,1,1021120,2697
2008-06,BK,3,625664,
2008-06,QN,4,480376,
2008-06,NYC,,600973,2362
2008-05,MN,1,1017289,2698
2008-05,BK,3,627141,
2008-05,QN,4,480605,
2008-05,NYC,,601023,2362
